year,state,blood_type,donations
2012,Terengganu,a,3573
2012,Terengganu,ab,1062
2012,Terengganu,all,14718
2012,Terengganu,b,4234
2012,Terengganu,o,5849
2012,W.P. Kuala Lumpur,a,40809
2012,W.P. Kuala Lumpur,ab,10650
2012,W.P. Kuala Lumpur,all,162027
2012,W.P. Kuala Lumpur,b,43817
2012,W.P. Kuala Lumpur,o,66742
2013,Johor,a,8672
2013,Johor,ab,1822
2013,Johor,all,34370
2013,Johor,b,9362
2013,Johor,o,14514
2013,Kedah,a,13997
2013,Kedah,ab,3829
2013,Kedah,all,54989
2013,Kedah,b,15557
2013,Kedah,o,21606
2013,Kelantan,a,2660
2013,Kelantan,ab,706
2013,Kelantan,all,10351
2013,Kelantan,b,2963
2013,Kelantan,o,4022
2013,Melaka,a,7352
2013,Melaka,ab,1920
2013,Melaka,all,29156
2013,Melaka,b,7858
2013,Melaka,o,12026
2013,Negeri Sembilan,a,4008
2013,Negeri Sembilan,ab,1016
2013,Negeri Sembilan,all,15834
2013,Negeri Sembilan,b,4284
2013,Negeri Sembilan,o,6526
2013,Pahang,a,2891
2013,Pahang,ab,812
2013,Pahang,all,11491
2013,Pahang,b,3195
2013,Pahang,o,4592
2013,Perak,a,9774
2013,Perak,ab,2475
2013,Perak,all,38515
2013,Perak,b,10639
2013,Perak,o,15627
2013,Pulau Pinang,a,0
2013,Pulau Pinang,ab,0
2013,Pulau Pinang,all,0
2013,Pulau Pinang,b,0
2013,Pulau Pinang,o,0
2013,Sabah,a,4912
2013,Sabah,ab,1090
2013,Sabah,all,22326
2013,Sabah,b,5159
2013,Sabah,o,11165
2013,Sarawak,a,4700
2013,Sarawak,ab,1274
2013,Sarawak,all,19548
2013,Sarawak,b,5684
2013,Sarawak,o,7890
2013,Selangor,a,5646
2013,Selangor,ab,1437
2013,Selangor,all,22589
2013,Selangor,b,6232
2013,Selangor,o,9273
2013,Terengganu,a,3527
2013,Terengganu,ab,1064
2013,Terengganu,all,13915
2013,Terengganu,b,3949
2013,Terengganu,o,5375
2013,W.P. Kuala Lumpur,a,41879
2013,W.P. Kuala Lumpur,ab,10873
2013,W.P. Kuala Lumpur,all,166823
2013,W.P. Kuala Lumpur,b,45314
2013,W.P. Kuala Lumpur,o,68745
2014,Johor,a,8944
2014,Johor,ab,2152
2014,Johor,all,35820
2014,Johor,b,9686
2014,Johor,o,15038
2014,Kedah,a,14475
2014,Kedah,ab,4006
2014,Kedah,all,57014
2014,Kedah,b,16235
2014,Kedah,o,22298
2014,Kelantan,a,2732
2014,Kelantan,ab,749
2014,Kelantan,all,10504
2014,Kelantan,b,3132
2014,Kelantan,o,3891
2014,Melaka,a,7113
2014,Melaka,ab,1825
2014,Melaka,all,28079
2014,Melaka,b,7579
2014,Melaka,o,11562
2014,Negeri Sembilan,a,3765
2014,Negeri Sembilan,ab,978
2014,Negeri Sembilan,all,14785
2014,Negeri Sembilan,b,3928
2014,Negeri Sembilan,o,6114
2014,Pahang,a,2836
2014,Pahang,ab,780
2014,Pahang,all,11550
2014,Pahang,b,3265
2014,Pahang,o,4669
2014,Perak,a,9645
2014,Perak,ab,2570
2014,Perak,all,38455
2014,Perak,b,10646
2014,Perak,o,15594
2014,Pulau Pinang,a,6857
2014,Pulau Pinang,ab,1734
2014,Pulau Pinang,all,27069
2014,Pulau Pinang,b,7309
2014,Pulau Pinang,o,11169
2014,Sabah,a,4923
2014,Sabah,ab,1105
2014,Sabah,all,22507
2014,Sabah,b,5231
2014,Sabah,o,11248
2014,Sarawak,a,6856
2014,Sarawak,ab,1969
2014,Sarawak,all,28731
2014,Sarawak,b,8219
2014,Sarawak,o,11687
2014,Selangor,a,6012
2014,Selangor,ab,1571
2014,Selangor,all,24102
2014,Selangor,b,6580
2014,Selangor,o,9939
2014,Terengganu,a,3548
2014,Terengganu,ab,963
2014,Terengganu,all,13930
2014,Terengganu,b,4025
2014,Terengganu,o,5394
2014,W.P. Kuala Lumpur,a,43628
2014,W.P. Kuala Lumpur,ab,11455
2014,W.P. Kuala Lumpur,all,175260
2014,W.P. Kuala Lumpur,b,47924
2014,W.P. Kuala Lumpur,o,72244
2015,Johor,a,9008
2015,Johor,ab,1989
2015,Johor,all,36912
2015,Johor,b,10031
2015,Johor,o,15884
2015,Kedah,a,15103
2015,Kedah,ab,4166
2015,Kedah,all,59888
2015,Kedah,b,16991
2015,Kedah,o,23628
2015,Kelantan,a,4355
2015,Kelantan,ab,1069
2015,Kelantan,all,15468
2015,Kelantan,b,4179
2015,Kelantan,o,5865
2015,Melaka,a,7200
2015,Melaka,ab,1883
2015,Melaka,all,28539
2015,Melaka,b,7643
2015,Melaka,o,11813
2015,Negeri Sembilan,a,4276
2015,Negeri Sembilan,ab,1116
2015,Negeri Sembilan,all,17011
2015,Negeri Sembilan,b,4611
2015,Negeri Sembilan,o,7008
2015,Pahang,a,2937
2015,Pahang,ab,827
2015,Pahang,all,11677
2015,Pahang,b,3265
2015,Pahang,o,4648
2015,Perak,a,10078
2015,Perak,ab,2612
2015,Perak,all,39803
2015,Perak,b,11008
2015,Perak,o,16105
2015,Pulau Pinang,a,10421
2015,Pulau Pinang,ab,2608
2015,Pulau Pinang,all,40913
2015,Pulau Pinang,b,10904
2015,Pulau Pinang,o,16980
2015,Sabah,a,5175
2015,Sabah,ab,1170
2015,Sabah,all,23781
2015,Sabah,b,5511
2015,Sabah,o,11925
2015,Sarawak,a,9214
2015,Sarawak,ab,2636
2015,Sarawak,all,37478
2015,Sarawak,b,10586
2015,Sarawak,o,15042
2015,Selangor,a,6183
2015,Selangor,ab,1662
2015,Selangor,all,25210
2015,Selangor,b,7069
2015,Selangor,o,10295
2015,Terengganu,a,3860
2015,Terengganu,ab,1056
2015,Terengganu,all,15283
2015,Terengganu,b,4411
2015,Terengganu,o,5956
2015,W.P. Kuala Lumpur,a,46106
2015,W.P. Kuala Lumpur,ab,11726
2015,W.P. Kuala Lumpur,all,183859
2015,W.P. Kuala Lumpur,b,50439
2015,W.P. Kuala Lumpur,o,75581
2016,Johor,a,7585
2016,Johor,ab,1740
2016,Johor,all,30601
2016,Johor,b,8081
2016,Johor,o,13195
2016,Kedah,a,14555
2016,Kedah,ab,4092
2016,Kedah,all,58750
2016,Kedah,b,16528
2016,Kedah,o,23575
2016,Kelantan,a,4046
2016,Kelantan,ab,1012
2016,Kelantan,all,15111
2016,Kelantan,b,4159
2016,Kelantan,o,5894
2016,Melaka,a,7744
2016,Melaka,ab,1930
2016,Melaka,all,29942
2016,Melaka,b,7922
2016,Melaka,o,12346
2016,Negeri Sembilan,a,4392
2016,Negeri Sembilan,ab,1172
2016,Negeri Sembilan,all,17955
2016,Negeri Sembilan,b,4923
2016,Negeri Sembilan,o,7468
2016,Pahang,a,2707
2016,Pahang,ab,808
2016,Pahang,all,10995
2016,Pahang,b,3116
2016,Pahang,o,4364
2016,Perak,a,10415
2016,Perak,ab,2769
2016,Perak,all,41848
2016,Perak,b,11472
2016,Perak,o,17192
2016,Pulau Pinang,a,10812
2016,Pulau Pinang,ab,2808
2016,Pulau Pinang,all,42515
2016,Pulau Pinang,b,11591
2016,Pulau Pinang,o,17304
2016,Sabah,a,6512
2016,Sabah,ab,1465
2016,Sabah,all,29269
2016,Sabah,b,6970
2016,Sabah,o,14322
2016,Sarawak,a,8822
2016,Sarawak,ab,2556
2016,Sarawak,all,35965
2016,Sarawak,b,10239
2016,Sarawak,o,14348
2016,Selangor,a,6056
2016,Selangor,ab,1680
2016,Selangor,all,24986
2016,Selangor,b,6900
2016,Selangor,o,10349
2016,Terengganu,a,3844
2016,Terengganu,ab,1085
2016,Terengganu,all,15308
2016,Terengganu,b,4365
2016,Terengganu,o,6014
2016,W.P. Kuala Lumpur,a,45038
2016,W.P. Kuala Lumpur,ab,10830
2016,W.P. Kuala Lumpur,all,180044
2016,W.P. Kuala Lumpur,b,49127
2016,W.P. Kuala Lumpur,o,75039
2017,Johor,a,8521
2017,Johor,ab,1797
2017,Johor,all,34549
2017,Johor,b,9201
2017,Johor,o,15029
2017,Kedah,a,15328
2017,Kedah,ab,4376
2017,Kedah,all,61386
2017,Kedah,b,17383
2017,Kedah,o,24299
2017,Kelantan,a,11
2017,Kelantan,ab,3
2017,Kelantan,all,35
2017,Kelantan,b,13
2017,Kelantan,o,8
2017,Melaka,a,7754
2017,Melaka,ab,1922
2017,Melaka,all,30233
2017,Melaka,b,7814
2017,Melaka,o,12743
2017,Negeri Sembilan,a,4160
2017,Negeri Sembilan,ab,1115
2017,Negeri Sembilan,all,17111
2017,Negeri Sembilan,b,4577
2017,Negeri Sembilan,o,7259
2017,Pahang,a,2506
2017,Pahang,ab,676
2017,Pahang,all,9552
2017,Pahang,b,2625
2017,Pahang,o,3745
2017,Perak,a,10517
2017,Perak,ab,2781
2017,Perak,all,41975
2017,Perak,b,11532
2017,Perak,o,17145
2017,Pulau Pinang,a,10521
2017,Pulau Pinang,ab,2619
2017,Pulau Pinang,all,41597
2017,Pulau Pinang,b,11203
2017,Pulau Pinang,o,17254
