state,year_month,pledges
Melaka,2010-08-01,41
Melaka,2010-09-01,14
Melaka,2010-10-01,79
Melaka,2010-11-01,21
Melaka,2010-12-01,23
Melaka,2011-01-01,48
Melaka,2011-02-01,133
Melaka,2011-03-01,75
Melaka,2011-04-01,143
Melaka,2011-05-01,48
Melaka,2011-06-01,25
Melaka,2011-07-01,35
Melaka,2011-08-01,18
Melaka,2011-09-01,67
Melaka,2011-10-01,74
Melaka,2011-11-01,33
Melaka,2011-12-01,20
Melaka,2012-01-01,18
Melaka,2012-02-01,33
Melaka,2012-03-01,118
Melaka,2012-04-01,47
Melaka,2012-05-01,25
Melaka,2012-06-01,16
Melaka,2012-07-01,41
Melaka,2012-08-01,19
Melaka,2012-09-01,70
Melaka,2012-10-01,60
Melaka,2012-11-01,54
Melaka,2012-12-01,38
Melaka,2013-01-01,27
Melaka,2013-02-01,39
Melaka,2013-03-01,41
Melaka,2013-04-01,26
Melaka,2013-05-01,27
Melaka,2013-06-01,30
Melaka,2013-07-01,35
Melaka,2013-08-01,16
Melaka,2013-09-01,30
Melaka,2013-10-01,44
Melaka,2013-11-01,105
Melaka,2013-12-01,27
Melaka,2014-01-01,40
Melaka,2014-02-01,21
Melaka,2014-03-01,56
Melaka,2014-04-01,54
Melaka,2014-05-01,40
Melaka,2014-06-01,30
Melaka,2014-07-01,36
Melaka,2014-08-01,38
Melaka,2014-09-01,48
Melaka,2014-10-01,127
Melaka,2014-11-01,80
Melaka,2014-12-01,64
Melaka,2015-01-01,30
Melaka,2015-02-01,37
Melaka,2015-03-01,67
Melaka,2015-04-01,112
Melaka,2015-05-01,172
Melaka,2015-06-01,116
Melaka,2015-07-01,82
Melaka,2015-08-01,122
Melaka,2015-09-01,114
Melaka,2015-10-01,244
Melaka,2015-11-01,138
Melaka,2015-12-01,129
Melaka,2016-01-01,264
Melaka,2016-02-01,72
Melaka,2016-03-01,193
Melaka,2016-04-01,115
Melaka,2016-05-01,55
Melaka,2016-06-01,28
Melaka,2016-07-01,15
Melaka,2016-08-01,112
Melaka,2016-09-01,59
Melaka,2016-10-01,180
Melaka,2016-11-01,68
Melaka,2016-12-01,80
Melaka,2017-01-01,25
Melaka,2017-02-01,37
Melaka,2017-03-01,36
Melaka,2017-04-01,29
Melaka,2017-05-01,38
Melaka,2017-06-01,42
Melaka,2017-07-01,27
Melaka,2017-08-01,31
Melaka,2017-09-01,35
Melaka,2017-10-01,115
Melaka,2017-11-01,262
Melaka,2017-12-01,162
Melaka,2018-01-01,50
Melaka,2018-02-01,28
Melaka,2018-03-01,24
Melaka,2018-04-01,35
Melaka,2018-05-01,20
Melaka,2018-06-01,41
Melaka,2018-07-01,32
Melaka,2018-08-01,29
Melaka,2018-09-01,9
Melaka,2018-10-01,37
Melaka,2018-11-01,22
Melaka,2018-12-01,12
Melaka,2019-01-01,43
Melaka,2019-02-01,58
Melaka,2019-03-01,32
Melaka,2019-04-01,43
Melaka,2019-05-01,29
Melaka,2019-06-01,20
Melaka,2019-07-01,10
Melaka,2019-08-01,12
Melaka,2019-09-01,17
Melaka,2019-10-01,31
Melaka,2019-11-01,14
Melaka,2019-12-01,2
Melaka,2020-01-01,13
Melaka,2020-02-01,11
Melaka,2020-03-01,7
Melaka,2020-04-01,2
Melaka,2020-05-01,5
Melaka,2020-06-01,0
Melaka,2020-07-01,2
Melaka,2020-08-01,1
Melaka,2020-09-01,11
Melaka,2020-10-01,9
Melaka,2020-11-01,2
Melaka,2020-12-01,3
Melaka,2021-01-01,5
Melaka,2021-02-01,1
Melaka,2021-03-01,5
Melaka,2021-04-01,8
Melaka,2021-05-01,12
Melaka,2021-06-01,11
Melaka,2021-07-01,16
Melaka,2021-08-01,31
Melaka,2021-09-01,37
Melaka,2021-10-01,22
Melaka,2021-11-01,73
Melaka,2021-12-01,37
Melaka,2022-01-01,37
Melaka,2022-02-01,70
Melaka,2022-03-01,200
Melaka,2022-04-01,65
Melaka,2022-05-01,45
Melaka,2022-06-01,75
Melaka,2022-07-01,35
Melaka,2022-08-01,50
Melaka,2022-09-01,307
Melaka,2022-10-01,419
Melaka,2022-11-01,225
Melaka,2022-12-01,140
Melaka,2023-01-01,154
Melaka,2023-02-01,73
Melaka,2023-03-01,84
Melaka,2023-04-01,123
Melaka,2023-05-01,90
Melaka,2023-06-01,107
Melaka,2023-07-01,84
Melaka,2023-08-01,110
Melaka,2023-09-01,88
Melaka,2023-10-01,64
Melaka,2023-11-01,50
Melaka,2023-12-01,88
Melaka,2024-01-01,43
Melaka,2024-02-01,46
Melaka,2024-03-01,44
Melaka,2024-04-01,30
Melaka,2024-05-01,48
Melaka,2024-06-01,52
Melaka,2024-07-01,77
Melaka,2024-08-01,87
Melaka,2024-09-01,27
Melaka,2024-10-01,6
Negeri Sembilan,2009-01-01,0
Negeri Sembilan,2009-02-01,0
Negeri Sembilan,2009-03-01,2
Negeri Sembilan,2009-04-01,0
Negeri Sembilan,2009-05-01,0
Negeri Sembilan,2009-06-01,1
Negeri Sembilan,2009-07-01,3
Negeri Sembilan,2009-08-01,0
Negeri Sembilan,2009-09-01,0
Negeri Sembilan,2009-10-01,34
Negeri Sembilan,2009-11-01,1
Negeri Sembilan,2009-12-01,4
Negeri Sembilan,2010-01-01,30
Negeri Sembilan,2010-02-01,16
Negeri Sembilan,2010-03-01,14
Negeri Sembilan,2010-04-01,26
Negeri Sembilan,2010-05-01,21
Negeri Sembilan,2010-06-01,4
Negeri Sembilan,2010-07-01,51
Negeri Sembilan,2010-08-01,44
Negeri Sembilan,2010-09-01,36
Negeri Sembilan,2010-10-01,53
Negeri Sembilan,2010-11-01,34
Negeri Sembilan,2010-12-01,73
Negeri Sembilan,2011-01-01,107
Negeri Sembilan,2011-02-01,90
Negeri Sembilan,2011-03-01,181
Negeri Sembilan,2011-04-01,188
Negeri Sembilan,2011-05-01,129
Negeri Sembilan,2011-06-01,133
Negeri Sembilan,2011-07-01,144
Negeri Sembilan,2011-08-01,33
Negeri Sembilan,2011-09-01,51
Negeri Sembilan,2011-10-01,133
Negeri Sembilan,2011-11-01,49
Negeri Sembilan,2011-12-01,47
Negeri Sembilan,2012-01-01,38
Negeri Sembilan,2012-02-01,86
Negeri Sembilan,2012-03-01,106
Negeri Sembilan,2012-04-01,105
Negeri Sembilan,2012-05-01,84
Negeri Sembilan,2012-06-01,49
Negeri Sembilan,2012-07-01,96
Negeri Sembilan,2012-08-01,41
Negeri Sembilan,2012-09-01,153
Negeri Sembilan,2012-10-01,137
Negeri Sembilan,2012-11-01,109
Negeri Sembilan,2012-12-01,69
Negeri Sembilan,2013-01-01,53
Negeri Sembilan,2013-02-01,65
Negeri Sembilan,2013-03-01,109
Negeri Sembilan,2013-04-01,62
Negeri Sembilan,2013-05-01,43
Negeri Sembilan,2013-06-01,66
Negeri Sembilan,2013-07-01,45
Negeri Sembilan,2013-08-01,27
Negeri Sembilan,2013-09-01,59
Negeri Sembilan,2013-10-01,71
Negeri Sembilan,2013-11-01,57
Negeri Sembilan,2013-12-01,53
Negeri Sembilan,2014-01-01,102
Negeri Sembilan,2014-02-01,84
Negeri Sembilan,2014-03-01,140
Negeri Sembilan,2014-04-01,101
Negeri Sembilan,2014-05-01,87
Negeri Sembilan,2014-06-01,144
Negeri Sembilan,2014-07-01,88
Negeri Sembilan,2014-08-01,74
Negeri Sembilan,2014-09-01,164
Negeri Sembilan,2014-10-01,736
Negeri Sembilan,2014-11-01,152
Negeri Sembilan,2014-12-01,222
Negeri Sembilan,2015-01-01,102
Negeri Sembilan,2015-02-01,173
Negeri Sembilan,2015-03-01,121
Negeri Sembilan,2015-04-01,188
Negeri Sembilan,2015-05-01,126
Negeri Sembilan,2015-06-01,107
Negeri Sembilan,2015-07-01,119
Negeri Sembilan,2015-08-01,120
Negeri Sembilan,2015-09-01,228
Negeri Sembilan,2015-10-01,781
Negeri Sembilan,2015-11-01,200
Negeri Sembilan,2015-12-01,229
Negeri Sembilan,2016-01-01,238
Negeri Sembilan,2016-02-01,88
Negeri Sembilan,2016-03-01,120
Negeri Sembilan,2016-04-01,108
Negeri Sembilan,2016-05-01,71
Negeri Sembilan,2016-06-01,108
Negeri Sembilan,2016-07-01,38
Negeri Sembilan,2016-08-01,131
Negeri Sembilan,2016-09-01,103
Negeri Sembilan,2016-10-01,392
Negeri Sembilan,2016-11-01,64
Negeri Sembilan,2016-12-01,45
Negeri Sembilan,2017-01-01,62
Negeri Sembilan,2017-02-01,72
Negeri Sembilan,2017-03-01,171
Negeri Sembilan,2017-04-01,90
Negeri Sembilan,2017-05-01,86
Negeri Sembilan,2017-06-01,40
Negeri Sembilan,2017-07-01,75
Negeri Sembilan,2017-08-01,70
Negeri Sembilan,2017-09-01,199
Negeri Sembilan,2017-10-01,514
Negeri Sembilan,2017-11-01,412
Negeri Sembilan,2017-12-01,159
Negeri Sembilan,2018-01-01,79
Negeri Sembilan,2018-02-01,85
Negeri Sembilan,2018-03-01,112
Negeri Sembilan,2018-04-01,116
Negeri Sembilan,2018-05-01,41
Negeri Sembilan,2018-06-01,75
Negeri Sembilan,2018-07-01,54
Negeri Sembilan,2018-08-01,49
Negeri Sembilan,2018-09-01,30
Negeri Sembilan,2018-10-01,158
Negeri Sembilan,2018-11-01,42
Negeri Sembilan,2018-12-01,17
Negeri Sembilan,2019-01-01,57
Negeri Sembilan,2019-02-01,33
Negeri Sembilan,2019-03-01,25
Negeri Sembilan,2019-04-01,37
Negeri Sembilan,2019-05-01,22
Negeri Sembilan,2019-06-01,16
Negeri Sembilan,2019-07-01,23
Negeri Sembilan,2019-08-01,25
Negeri Sembilan,2019-09-01,26
Negeri Sembilan,2019-10-01,30
Negeri Sembilan,2019-11-01,31
Negeri Sembilan,2019-12-01,10
Negeri Sembilan,2020-01-01,25
Negeri Sembilan,2020-02-01,22
Negeri Sembilan,2020-03-01,11
